Grupo;Práctica 1 [0-2/3];Práctica 2  [0-2/3];Práctica 3  [0-2/3];TOTAL prácticas [0-2];Evaluacion Parcial [0-2];EXAMEN JUNIO [0-6];NOTA FINAL JUNIO  [0-10];EXAMEN SEPTIEMBRE [0-8];NOTA FINAL SEPTIEMBRE [0-10]
A;0,25;0,48;0,61;1,34;0,97;2,49;4,79;4,23;5,57
A;0,54;0,48;0,46;1,48;;;1,48;0,51;1,99
A;0,63;0,57;0,51;1,71;0,93;0,56;3,20;;
A;0,34;0,47;0,49;1,30;;;1,30;3,37;4,67
A;0,36;0,33;0,55;1,24;0,37;1,63;3,24;;
A;0,67;0,67;0,64;1,98;2,00;3,86;7,84;;
A;0,40;0,48;0,36;1,24;0,40;1,84;3,48;;
A;0,54;0,46;0,00;1,00;1,13;1,84;3,98;1,66;2,66
A;0,60;0,48;0,36;1,44;0,60;3,21;5,25;;
A;0,60;0,11;0,34;1,05;;;1,05;;
A;0,24;0,48;0,61;1,33;0,40;4,07;5,80;;
A;0,31;0,00;0,23;0,54;0,67;1,29;2,49;1,43;1,97
A;0,22;0,48;0,61;1,31;0,27;0,60;2,18;2,23;3,54
A;0,36;0,33;0,55;1,24;;0,43;1,67;;
A;0,56;0,00;0,55;1,11;;;1,11;;
A;0,54;0,48;0,36;1,38;0,70;3,00;5,08;;
A;0,54;0,39;0,00;0,93;0,87;1,41;3,21;3,77;4,70
A;0,10;0,00;;0,10;;1,41;1,51;;
A;0,50;0,00;0,34;0,84;0,30;;1,14;2,29;3,13
A;0,47;0,00;0,46;0,93;;;0,93;;
A;0,60;0,33;0,52;1,45;0,50;1,24;3,19;4,51;5,96
A;0,54;0,50;0,49;1,53;0,43;2,36;4,32;5,09;6,62
A;0,54;0,11;0,34;0,99;;1,41;2,40;;
A;;0,00;;;0,43;0,64;1,08;3,14;3,14
A;0,54;0,48;0,36;1,38;0,77;2,10;4,25;3,94;5,32
A;0,63;0,57;0,51;1,71;1,00;2,53;5,24;;
A;0,64;0,67;0,64;1,95;0,73;1,24;3,93;4,00;5,95
